poi_id,building_id,building_name,poi_type,name,address,distance_meters,lat,lng,google_place_id,rating,user_rating_count,primary_type,source,source_url,source_last_checked,last_updated_at,source_name,updated_by,internal_notes
1214_fifth_avenue_coffee_6,1214_fifth_avenue,1214 Fifth Avenue,coffee,Dunkin',"1391 Madison Ave, New York, NY 10029, USA",421,40.7877132,-73.9535207,ChIJbQ4shqRYwokRrqOwwJIVvpA,4.4,576,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_7,1214_fifth_avenue,1214 Fifth Avenue,coffee,Da Capo Aperitivo e Caffè,"1392 Madison Ave, New York, NY 10029, USA",435,40.7876794,-73.9540001,ChIJ9zwmKaFYwokRq-KCipBS2rE,4.5,474,cafe,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_8,1214_fifth_avenue,1214 Fifth Avenue,coffee,Dunkin',"1631 Lexington Ave, New York, NY 10029, USA",436,40.7903305,-73.9474190,ChIJ-92D8n33wokRyTP3DvAdP0w,4.5,286,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_9,1214_fifth_avenue,1214 Fifth Avenue,coffee,Café D'Anvers,"1567 Lexington Ave, New York, NY 10029, USA",441,40.7884591,-73.9488851,ChIJL-2JdQBZwokRybO9RBNmoPE,4.8,89,belgian_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_coffee_10,1214_fifth_avenue,1214 Fifth Avenue,coffee,Champignon Café,"1389 Madison Ave, New York, NY 10029, USA",451,40.7874877,-73.9538016,ChIJv0YILaFYwokRPSLTmrCty7A,4.1,319,cafe,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_subway_1,1214_fifth_avenue,1214 Fifth Avenue,subway,103 St,"New York, NY 10029, USA",402,40.7902870,-73.9478592,ChIJ1-xItAL2wokRQQlHUl1GGgY,3.8,115,subway_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_1,1440,1440,restaurant,La Casita Taqueria Restaurant,"1484 Amsterdam Ave, New York, NY 10031, USA",100,40.8179311,-73.9532861,ChIJvTIHfD_3wokRj4TgLe2sr1o,4.1,34,mexican_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_2,1440,1440,restaurant,Mi Casita,"1484 Amsterdam Ave, New York, NY 10031, USA",100,40.8179311,-73.9532861,ChIJBUc4LG_2wokRyzm0iRbMV8I,3.6,123,mexican_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_3,1440,1440,restaurant,Fruces,"1496 Amsterdam Ave, New York, NY 10031, USA",108,40.8182050,-73.9529800,ChIJefRCMG_2wokRotti4ItPKxc,4.7,163,juice_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_4,1440,1440,restaurant,Kennedy Chicken & Burgers,"1502 Amsterdam Ave, New York, NY 10031, USA",111,40.8184517,-73.9528819,ChIJ8zsdSxT3wokRGruWSzNqaKc,4.8,68,chicken_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_5,1440,1440,restaurant,Makana,"1502 Amsterdam Ave, New York, NY 10031, USA",111,40.8184517,-73.9528819,ChIJT_WgiJz3wokRl5UJn83-VtQ,3.8,63,hawaiian_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_6,1440,1440,restaurant,Isara Mexican Taqueria Llc,"1512 Amsterdam Ave, New York, NY 10031, USA",134,40.8187070,-73.9526290,ChIJTUtvR2_2wokRpW-cAN02zrE,,,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_7,1440,1440,restaurant,Ten Dragon,"1516 Amsterdam Ave, New York, NY 10031, USA",144,40.8187892,-73.9525315,ChIJB_bboIH3wokRv7sjQv4RK4M,3.8,70,chinese_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_8,1440,1440,restaurant,Amsterdam Sushi,"1518 Amsterdam Ave, New York, NY 10031, USA",145,40.8188669,-73.9525458,ChIJY3CwCIT3wokReNnkV6ZC0rM,4,185,sushi_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_9,1440,1440,restaurant,RAIRAIKEN UPTOWN,"1467 Amsterdam Ave, New York, NY 10027, USA",165,40.8171970,-73.9532661,ChIJcRgR0W72wokRfT2l0W4NVIs,4.1,228,ramen_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_restaurant_10,1440,1440,restaurant,American Restaurant,"1467 Amsterdam Ave, New York, NY 10027, USA",175,40.8171345,-73.9531741,ChIJgU5J8In3wokRm6LwVpHvV8E,4.8,16,mexican_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_1,1440,1440,grocery,501 Convenient Store Corporation,"501 W 133rd St, New York, NY 10027, USA",100,40.8178180,-73.9534230,ChIJT9yCK2_2wokRqtxSRdMA1Lw,5,1,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_2,1440,1440,grocery,Pueblo Magico 2,"1512 Amsterdam Ave, New York, NY 10031, USA",135,40.8186893,-73.9526158,ChIJzd5RR2_2wokRJbhp9F2HhWY,4.5,2,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_3,1440,1440,grocery,El pulgarcito produsts and deli,"1512 Amsterdam Ave, New York, NY 10031, USA",136,40.8186854,-73.9526063,ChIJeTCmECj3wokRQCXD2TicLxU,5,2,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_4,1440,1440,grocery,Ant Solutions Grocery,"500 W 135th St #1, New York, NY 10031, USA",138,40.8189098,-73.9526556,ChIJObRzRm_2wokRX0hCugBb_aQ,4.6,9,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_5,1440,1440,grocery,Encanto Mexicano,"500 W 135th St, New York, NY 10031, USA",138,40.8189289,-73.9526618,ChIJf6G0IQD3wokRgNf_VBd7AJ8,5,3,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_6,1440,1440,grocery,CTown Supermarkets,"3320 Broadway, New York, NY 10031, USA",141,40.8196215,-73.9549764,ChIJAT8wvWj2wokReKT8uGa_bYI,3.9,297,supermarket,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1440_grocery_7,1440,1440,grocery,1471 DISCOUNT AND GROCERY,"1471 Amsterdam Ave, New York, NY 10027, USA",162,40.8172440,-73.9532204,ChIJhQqJJAD3wokRZqKx62CoWtw,,,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
