source_id,source_name,source_url,source_type,owner,refresh_cadence,last_synced_at,status,notes
source_rockrose_com,rockrose.com,https://rockrose.com/listing/1003-3/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_rockrose_com,rockrose.com,https://rockrose.com/listing/1402-4/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-314,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-328,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-336,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-343,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-409,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-436,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-532,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-733,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_equityapartments_com,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments#/unit/001/1-740,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n04g,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n04j,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n06m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n08m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n09d,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n10k,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n11m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n13n,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n14m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n15f,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n15h,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n17a,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n17k,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n18h,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n19m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n20g,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n21a,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n21d,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n21k,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n23d,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n25g,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n26d,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n28b,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n29f,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n31e,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n31f,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=n35c,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s05j,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s07h,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s08x,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s10h,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s11k,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s14m,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s14x,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s15f,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_udr_com,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/apartment/?number=s15n,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
